Name,Age,Nationality,Club,Preferred Foot,Crossing,Dribbling,LongPassing,ShotPower
A. Belotti,24,Italy,Torino,Right,42,78,42,81
E. Forsberg,26,Sweden,RB Leipzig,Right,84,82,69,73
J. Lingard,25,England,Manchester United,Right,74,83,66,80
F. Vázquez,29,Argentina,Sevilla FC,Left,73,86,78,76
E. Višća,28,Bosnia Herzegovina,Medipol Başakşehir FK,Right,80,82,69,79
A. Rüdiger,25,Germany,Chelsea,Right,68,59,72,70
A. Florenzi,27,Italy,Roma,Right,77,78,75,82
H. Maguire,25,England,Leicester City,Right,44,70,72,68
T. Meunier,26,Belgium,Paris Saint-Germain,Right,83,75,74,77
S. Sané,27,Senegal,FC Schalke 04,Right,57,64,71,77
G. Kondogbia,25,Central African Rep.,Valencia CF,Left,65,78,79,86
Rafinha,25,Brazil,FC Barcelona,Left,72,87,76,79
Gabriel Paulista,27,Brazil,Valencia CF,Right,67,60,69,61
Morata,25,Spain,Chelsea,Right,73,83,51,80
J. Cillessen,29,Netherlands,FC Barcelona,Right,17,12,33,35
W. Ben Yedder,27,France,Sevilla FC,Right,74,84,66,79
C. Bakambu,27,DR Congo,Beijing Sinobo Guoan FC,Right,74,80,66,84
Pablo Sarabia,26,Spain,Sevilla FC,Left,86,86,77,76
W. Zaha,25,Ivory Coast,Crystal Palace,Right,81,90,65,78
Luis Alberto,25,Spain,Lazio,Right,76,86,87,77
Jonathan Viera,28,Spain,Beijing Sinobo Guoan FC,Right,75,84,78,70
Bartra,27,Spain,Real Betis,Right,55,70,78,66
S. Coates,27,Uruguay,Sporting CP,Right,17,64,70,50
Willian José,26,Brazil,Real Sociedad,Right,54,79,50,84
Mário Fernandes,27,Russia,PFC CSKA Moscow,Right,76,77,74,71
Víctor Ruiz,29,Spain,Villarreal CF,Left,54,53,70,59
T. Delaney,26,Denmark,Borussia Dortmund,Left,67,73,77,78
K. Casteels,26,Belgium,VfL Wolfsburg,Left,15,14,37,21
M. Götze,26,Germany,Borussia Dortmund,Right,78,84,82,68
S. Mustafi,26,Germany,Arsenal,Right,53,53,69,66
J. Pastore,29,Argentina,Roma,Right,77,87,83,78
Pedro,30,Spain,Chelsea,Right,78,84,71,77
G. Bonaventura,28,Italy,Milan,Right,82,83,80,84
R. Bürki,27,Switzerland,Borussia Dortmund,Right,15,12,24,22
Taison,30,Brazil,Shakhtar Donetsk,Right,73,87,75,83
S. Nzonzi,29,France,Roma,Right,59,72,77,79
Marlos,30,Ukraine,Shakhtar Donetsk,Left,76,87,73,77
A. Ramsey,27,Wales,Arsenal,Right,75,81,80,81
K. Trippier,27,England,Tottenham Hotspur,Right,91,75,78,75
A. Kolarov,32,Serbia,Roma,Left,91,79,77,91
G. Sigurðsson,28,Iceland,Everton,Right,86,80,80,83
S. Giovinco,31,Italy,Toronto FC,Right,72,86,76,80
M. Arnautović,29,Austria,West Ham United,Right,80,84,74,84
N. Gaitán,30,Argentina,Dalian YiFang FC,Left,80,84,75,72
J. Henderson,28,England,Liverpool,Right,81,73,84,77
M. Kruse,30,Germany,SV Werder Bremen,Left,81,82,80,81
M. Parolo,33,Italy,Lazio,Right,70,75,83,87
L. Fejsa,29,Serbia,SL Benfica,Right,50,68,74,73
A. Rami,32,France,Olympique de Marseille,Right,36,56,68,77
V. Ćorluka,32,Croatia,Lokomotiv Moscow,Right,68,65,72,64
G. Wijnaldum,27,Netherlands,Liverpool,Right,67,84,76,76
F. Fazio,31,Argentina,Roma,Right,44,48,62,63
O. Giroud,31,France,Chelsea,Left,64,70,58,85
Marcano,31,Spain,Roma,Left,49,54,67,65
A. Guardado,31,Mexico,Real Betis,Left,73,80,83,74
E. Garay,31,Argentina,Valencia CF,Right,62,60,72,80
Jardel,32,Brazil,SL Benfica,Right,46,52,53,58
S. Sirigu,31,Italy,Torino,Right,13,15,28,20
E. Viviano,32,Italy,Sporting CP,Left,12,18,37,21
L. Koscielny,32,France,Arsenal,Right,52,62,69,54
A. Consigli,31,Italy,Sassuolo,Right,10,10,27,24
L. Biglia,32,Argentina,Milan,Right,74,80,82,77
Dani Alves,35,Brazil,Paris Saint-Germain,Right,85,84,79,86
David Villa,36,Spain,New York City FC,Right,71,83,67,81
Aduriz,37,Spain,Athletic Club de Bilbao,Right,54,76,52,82
P. Čech,36,Czech Republic,Arsenal,Left,19,12,33,21
Casillas,37,Spain,FC Porto,Left,13,25,22,28
M. Rashford,20,England,Manchester United,Right,75,83,65,87
Laure Santeiro,30,Brazil,Fluminense,Left,73,82,80,67
L. Bailey,20,Jamaica,Bayer 04 Leverkusen,Left,77,86,66,79
M. Akanji,22,Switzerland,Borussia Dortmund,Right,51,67,76,58
F. de Jong,21,Netherlands,Ajax,Right,75,86,82,68
Nélson Semedo,24,Portugal,FC Barcelona,Right,74,80,65,74
Pablo Fornals,22,Spain,Villarreal CF,Right,74,81,80,75
Fabián,22,Spain,Napoli,Left,72,81,80,75
E. Bailly,24,Ivory Coast,Manchester United,Right,51,60,56,55
Dani Ceballos,21,Spain,Real Madrid,Right,74,85,80,64
H. Lozano,22,Mexico,PSV,Right,75,84,67,76
Morales,30,Spain,Levante UD,Right,79,87,68,76
J. Seri,26,Ivory Coast,Fulham,Right,72,78,84,78
M. Politano,24,Italy,Inter,Left,79,84,74,78
M. Brozović,25,Croatia,Inter,Right,72,81,83,80
Williams,24,Spain,Athletic Club de Bilbao,Right,78,82,66,85
A. Correa,23,Argentina,Atlético Madrid,Right,74,87,65,80
A. Christensen,22,Denmark,Chelsea,Right,49,68,72,31
João Mário,25,Portugal,Inter,Right,77,83,78,76
T. Strakosha,23,Albania,Lazio,Right,18,14,22,18
E. Hysaj,24,Albania,Napoli,Right,78,75,70,68
P. Zieliński,24,Poland,Napoli,Right,77,84,79,76
Ricardo Pereira,24,Portugal,Leicester City,Right,81,83,78,67
Grimaldo,22,Spain,SL Benfica,Left,83,83,78,78
R. Guerreiro,24,Portugal,Borussia Dortmund,Left,85,83,75,79
A. Doucouré,25,France,Watford,Right,68,78,74,84
J. Martínez,25,Venezuela,Atlanta United,Right,53,75,55,79
C. Bacca,31,Colombia,Villarreal CF,Right,60,80,55,80
A. Plea,25,France,Borussia Mönchengladbach,Right,78,78,68,83
B. Davies,25,Wales,Tottenham Hotspur,Left,83,76,70,65
M. Nastasić,25,Serbia,FC Schalke 04,Left,46,43,69,44
A. Milik,24,Poland,Napoli,Left,58,74,62,85
M. Sabitzer,24,Austria,RB Leipzig,Right,70,79,67,86
B. Mendy,23,France,Manchester City,Left,87,80,69,79
C. Kramer,27,Germany,Borussia Mönchengladbach,Right,61,71,72,53
S. Vrsaljko,26,Croatia,Inter,Right,82,74,70,75
T. Hazard,25,Belgium,Borussia Mönchengladbach,Right,77,85,72,78
K. Bellarabi,28,Germany,Bayer 04 Leverkusen,Right,76,87,58,85
S. Zaza,27,Italy,Torino,Left,52,77,45,85
F. Ghoulam,27,Algeria,Napoli,Left,85,79,74,80
B. Lecomte,27,France,Montpellier HSC,Left,13,11,21,18
J. Iličić,30,Slovenia,Atalanta,Left,78,83,74,87
K. Volland,25,Germany,Bayer 04 Leverkusen,Left,78,79,67,85
Paco Alcácer,24,Spain,Borussia Dortmund,Right,53,78,51,80
Vitolo,28,Spain,Atlético Madrid,Right,78,84,80,77
G. Xhaka,25,Switzerland,Arsenal,Left,71,70,85,88
D. Tadić,29,Serbia,Ajax,Left,83,85,77,69
C. Aránguiz,29,Chile,Bayer 04 Leverkusen,Right,78,75,83,80
S. Verdi,25,Italy,Napoli,Left,82,84,76,81
D. Lovren,28,Croatia,Liverpool,Right,59,63,66,63
G. Medel,30,Chile,Beşiktaş JK,Right,50,63,78,65
X. Shaqiri,26,Switzerland,Liverpool,Left,78,86,80,87
J. Corona,25,Mexico,FC Porto,Right,73,91,68,66
A. Areola,25,France,Paris Saint-Germain,Right,20,12,32,25
K. Vogt,26,Germany,TSG 1899 Hoffenheim,Right,60,67,83,78
Ander Herrera,28,Spain,Manchester United,Right,74,77,79,75
E. Salvio,27,Argentina,SL Benfica,Right,78,85,72,80
S. El Shaarawy,25,Italy,Roma,Right,74,84,57,74
C. Smalling,28,England,Manchester United,Right,52,59,63,42
Hulk,31,Brazil,Shanghai SIPG FC,Left,76,82,72,94
S. Kagawa,29,Japan,Borussia Dortmund,Right,65,86,72,54
M. Lanzini,25,Argentina,West Ham United,Right,74,87,78,75
F. Smolov,28,Russia,Lokomotiv Moscow,Right,56,77,62,80
L. Stindl,29,Germany,Borussia Mönchengladbach,Right,76,78,69,81
O. Toprak,28,Turkey,Borussia Dortmund,Right,49,63,70,62
D. Perotti,29,Argentina,Roma,Right,79,88,69,73
F. Muslera,32,Uruguay,Galatasaray SK,Right,15,25,47,25
B. Höwedes,30,Germany,Lokomotiv Moscow,Right,58,59,64,57
S. Kjær,29,Denmark,Sevilla FC,Right,54,46,69,78
S. Bender,29,Germany,Bayer 04 Leverkusen,Right,43,58,69,73
M. Valbuena,33,France,Fenerbahçe SK,Right,82,83,77,75
Pedro León,31,Spain,SD Eibar,Right,91,84,85,84
K. Boateng,31,Ghana,Sassuolo,Right,75,79,78,84
L. Piszczek,33,Poland,Borussia Dortmund,Right,82,72,69,78
A. Candreva,31,Italy,Inter,Right,83,82,73,87
D. Wass,29,Denmark,Valencia CF,Right,78,80,79,86
E. Lamela,26,Argentina,Tottenham Hotspur,Left,78,86,73,81
D. Rose,27,England,Tottenham Hotspur,Left,82,80,66,68
C. Vela,29,Mexico,Los Angeles FC,Left,79,83,66,74
Renato Augusto,30,Brazil,Beijing Sinobo Guoan FC,Right,75,82,81,81
A. Valencia,32,Ecuador,Manchester United,Right,79,80,72,85
L. Fabiański,33,Poland,West Ham United,Right,14,14,32,14
João Moutinho,31,Portugal,Wolverhampton Wanderers,Right,77,79,81,76
Borja Valero,33,Spain,Inter,Right,78,85,85,72
F. Quagliarella,35,Italy,Sampdoria,Right,66,76,73,87
B. Gomis,32,France,Al Hilal,Right,61,78,46,84
Manuel Fernandes,32,Portugal,Lokomotiv Moscow,Right,79,86,80,81
H. Herrera,28,Mexico,FC Porto,Right,63,76,75,81
Raffael,33,Brazil,Borussia Mönchengladbach,Right,78,87,76,77
Nani,31,Portugal,Sporting CP,Right,80,87,77,85
J. Milner,32,England,Liverpool,Right,86,76,81,82
J. Mathieu,34,France,Sporting CP,Left,79,65,77,80
Joaquín,36,Spain,Real Betis,Right,86,85,83,74
M. Gómez,21,Uruguay,RC Celta,Right,56,76,58,79
K. Havertz,19,Germany,Bayer 04 Leverkusen,Left,69,81,73,66
T. Ndombele,21,France,Olympique Lyonnais,Right,67,86,79,80
H. Aouar,20,France,Olympique Lyonnais,Right,68,84,78,61
Carlos Soler,21,Spain,Valencia CF,Right,80,79,79,77
Odriozola,22,Spain,Real Madrid,Right,81,69,70,58
M. Almirón,24,Paraguay,Atlanta United,Left,71,81,70,78
Welington Dano,30,Brazil,Cruzeiro,Left,82,77,71,55
Everton Andrão,34,Brazil,Fluminense,Right,75,75,75,72
Oyarzabal,21,Spain,Real Sociedad,Left,81,84,73,73
F. Balbuena,26,Paraguay,West Ham United,Right,33,47,56,71
M. Marega,27,Mali,FC Porto,Right,59,62,52,86
B. Pavard,22,France,VfB Stuttgart,Right,66,66,80,60
W. Ndidi,21,Nigeria,Leicester City,Right,50,74,70,82
A. Onana,22,Cameroon,Ajax,Right,15,26,26,21
G. Lo Celso,22,Argentina,Real Betis,Left,75,81,80,79
M. Acuña,26,Argentina,Sporting CP,Left,87,85,76,83
