Name,ShortPassing,Dribbling,LongPassing,BallControl
Marco Asensio,83,86,82,85
N. Fekir,83,90,75,89
Alisson,45,27,44,30
J. Kimmich,85,80,80,85
Saúl,85,83,83,85
R. Mahrez,82,91,76,90
D. Alaba,82,79,80,83
Koke,90,82,89,86
A. Lacazette,80,85,59,83
K. Manolas,60,54,61,65
N. Otamendi,75,51,72,70
Parejo,90,78,87,84
Paulinho,84,82,80,84
W. Szczęsny,32,11,36,22
A. Sánchez,77,87,75,86
Y. Brahimi,79,93,72,86
J. Boateng,75,64,83,70
A. Vidal,83,76,79,82
I. Perišić,81,84,77,85
E. Džeko,77,76,72,84
S. Khedira,85,81,82,84
Diego Costa,65,77,52,83
R. Nainggolan,84,80,81,85
Naldo,76,60,70,68
B. Matuidi,83,78,77,79
Miranda,70,67,69,73
K. Benzema,83,83,62,86
Filipe Luís,80,77,77,83
V. Kompany,73,63,66,70
Pepe,70,58,61,62
Z. Ibrahimović,79,79,73,84
D. Sánchez,77,63,67,73
J. Giménez,68,47,58,56
Alex Telles,83,82,86,82
A. Laporte,76,59,78,73
Bruno Fernandes,85,83,82,85
N. Süle,78,42,63,63
A. Martial,77,87,60,86
D. Alli,85,83,80,85
Fabinho,83,76,78,82
Marquinhos,81,59,78,76
William Carvalho,84,80,86,79
Jorginho,89,82,87,85
F. Thauvin,83,85,76,86
Carvajal,81,76,71,83
M. Depay,80,85,74,85
H. Son,79,88,64,85
A. Lopes,32,15,31,21
S. de Vrij,71,63,71,71
M. Perin,33,19,31,23
J. Cuadrado,80,90,69,85
Iago Aspas,79,86,64,85
B. Leno,45,16,40,22
N. Matić,84,80,83,79
L. Hrádecký,15,10,20,20
Illarramendi,86,78,82,83
K. Walker,78,79,67,78
I. Gündoğan,88,85,83,86
José Callejón,80,82,51,85
A. Di María,82,86,79,85
M. Mandžukić,75,76,67,77
Willian,80,88,77,84
Sergio Asenjo,39,15,39,14
E. Banega,88,84,87,86
A. Witsel,89,78,79,84
D. Payet,84,86,80,90
Jonas,76,84,75,88
Sokratis,60,58,51,58
S. Ruffier,33,12,34,15
Falcao,79,75,58,82
K. Schmeichel,44,12,46,40
Raúl Albiol,74,59,72,71
A. Gómez,82,89,74,87
A. Barzagli,65,64,65,65
Quaresma,79,89,75,88
A. Robben,82,89,71,88
O. Dembélé,78,90,70,83
Gabriel Jesus,76,86,66,85
Ronaldo Cabrais,83,85,82,83
Josué Chiamulera,74,56,61,70
Louri Beretta,73,75,47,74
P. Kimpembe,79,58,75,78
N. Keïta,88,88,78,88
C. Tolisso,84,77,86,81
T. Lemar,84,85,75,86
K. Coman,77,88,63,83
J. Tah,74,55,69,64
Anderson Talisca,81,82,79,84
T. Werner,77,83,55,84
A. Rabiot,85,79,83,83
L. Goretzka,84,81,79,83
Q. Promes,78,84,73,82
H. Ziyech,86,83,89,83
Lucas Vázquez,83,82,75,83
Y. Carrasco,77,88,71,87
Gerard Moreno,78,78,56,81
Felipe,74,57,67,62
M. Kovačić,87,88,82,89
Kepa,32,10,36,16
Manu Trigueros,86,80,83,83
S. Gnabry,79,87,68,83
J. Pickford,55,14,55,40
S. Savić,72,47,69,68
J. Stones,81,69,74,80
Suso,86,88,75,89
J. Draxler,84,88,79,89
Felipe Anderson,80,90,74,88
Lucas Moura,77,88,74,81
Danilo Pereira,82,76,79,78
Nacho Fernández,80,55,61,78
T. Horn,35,20,32,22
Allan,85,82,77,80
F. Acerbi,73,65,77,72
Sergi Roberto,86,78,78,83
Rodrigo,78,82,58,82
Pizzi,83,80,84,82
K. Kampl,84,86,79,84
Neto,36,19,41,24
O. Baumann,30,19,25,17
I. Gueye,80,75,72,79
H. Mkhitaryan,80,84,71,86
Marcos Alonso,84,79,73,83
D. Subašić,24,11,26,19
K. Glik,63,51,59,59
K. Strootman,87,75,84,84
B. Dost,73,68,37,74
Oscar,86,78,82,84
M. Balotelli,78,81,66,85
Luiz Gustavo,79,68,77,73
Giuliano,82,84,79,84
David Luiz,77,66,77,79
R. Fährmann,25,15,26,24
Juan Mata,85,82,79,88
Adán,34,12,43,15
Rui Patrício,31,20,30,23
Y. Sommer,40,15,31,25
Javi Martínez,77,60,74,74
L. Bender,79,72,74,75
Lucas Leiva,82,77,81,78
S. Mandanda,37,15,28,17
Cesc Fàbregas,90,79,89,85
M. Dembélé,86,89,80,89
F. Ribéry,83,84,74,87
R. Jarstein,34,11,34,23
D. De Rossi,81,64,80,77
Pepe Reina,19,10,22,23
J. Pavlenka,28,12,17,19
M. de Ligt,75,65,72,73
Rodri,83,77,80,82
Arthur,85,82,80,83
G. Donnarumma,34,28,24,28
Rosberto Dourado,82,77,78,76
Juiano Mestres,67,60,58,64
Raphaelito Anjos,18,9,16,21
Gelson Martins,78,85,55,83
Gonçalo Guedes,77,86,68,81
L. Torreira,83,78,77,81
Malcom,82,85,73,85
Pau López,38,18,41,16
L. Hernández,80,65,63,79
C. Lenglet,78,60,69,76
A. Kramarić,79,87,53,86
A. Robertson,76,76,68,78
Dani García,86,66,81,81
F. Bernardeschi,82,86,72,87
J. Brandt,82,87,69,85
D. Rugani,65,64,59,65
Samu Castillejo,80,85,77,83
João Cancelo,78,84,75,83
A. Romagnoli,70,65,69,69
T. Partey,85,78,79,81
Fred,85,79,80,86
J. Vardy,65,76,48,76
A. Belotti,68,78,42,75
E. Forsberg,85,82,69,87
J. Lingard,78,83,66,83
F. Vázquez,84,86,78,87
E. Višća,78,82,69,82
A. Rüdiger,75,59,72,69
A. Florenzi,77,78,75,79
H. Maguire,77,70,72,76
T. Meunier,82,75,74,82
S. Sané,73,64,71,70
G. Kondogbia,81,78,79,82
Rafinha,86,87,76,84
Gabriel Paulista,74,60,69,69
Morata,78,83,51,82
J. Cillessen,47,12,33,32
W. Ben Yedder,78,84,66,83
C. Bakambu,75,80,66,82
Pablo Sarabia,83,86,77,84
W. Zaha,75,90,65,87
Luis Alberto,88,86,87,88
Jonathan Viera,84,84,78,82
Bartra,79,70,78,80
S. Coates,72,64,70,62
Willian José,78,79,50,80
Mário Fernandes,78,77,74,79
Víctor Ruiz,74,53,70,71
T. Delaney,79,73,77,77
K. Casteels,35,14,37,23
M. Götze,87,84,82,90
S. Mustafi,77,53,69,70
J. Pastore,86,87,83,86
Pedro,80,84,71,85
G. Bonaventura,84,83,80,85
R. Bürki,37,12,24,23
Taison,77,87,75,85
S. Nzonzi,79,72,77,81
Marlos,81,87,73,88
A. Ramsey,84,81,80,82
K. Trippier,79,75,78,80
A. Kolarov,77,79,77,76
G. Sigurðsson,84,80,80,85
S. Giovinco,80,86,76,86
M. Arnautović,78,84,74,85
N. Gaitán,81,84,75,83
J. Henderson,84,73,84,80
M. Kruse,84,82,80,85
M. Parolo,80,75,83,79
L. Fejsa,78,68,74,72
A. Rami,66,56,68,68
V. Ćorluka,70,65,72,73
G. Wijnaldum,84,84,76,84
F. Fazio,64,48,62,72
O. Giroud,79,70,58,83
Marcano,76,54,67,67
A. Guardado,85,80,83,84
E. Garay,69,60,72,73
Jardel,68,52,53,60
S. Sirigu,23,15,28,18
E. Viviano,36,18,37,22
L. Koscielny,76,62,69,66
A. Consigli,31,10,27,23
L. Biglia,86,80,82,84
Dani Alves,81,84,79,86
David Villa,76,83,67,85
Aduriz,72,76,52,82
P. Čech,35,12,33,22
Casillas,21,25,22,23
M. Rashford,75,83,65,80
Laure Santeiro,79,82,80,82
L. Bailey,75,86,66,82
M. Akanji,78,67,76,75
F. de Jong,87,86,82,88
Nélson Semedo,73,80,65,78
Pablo Fornals,84,81,80,81
Fabián,80,81,80,83
E. Bailly,70,60,56,65
Dani Ceballos,83,85,80,85
H. Lozano,74,84,67,80
Morales,75,87,68,83
J. Seri,86,78,84,84
M. Politano,78,84,74,83
M. Brozović,83,81,83,83
Williams,79,82,66,81
A. Correa,73,87,65,87
A. Christensen,77,68,72,74
João Mário,83,83,78,83
T. Strakosha,26,14,22,15
E. Hysaj,77,75,70,77
P. Zieliński,82,84,79,85
Ricardo Pereira,80,83,78,79
Grimaldo,79,83,78,82
R. Guerreiro,84,83,75,84
A. Doucouré,82,78,74,80
J. Martínez,68,75,55,78
C. Bacca,68,80,55,80
A. Plea,76,78,68,79
B. Davies,79,76,70,79
M. Nastasić,73,43,69,65
A. Milik,63,74,62,78
M. Sabitzer,79,79,67,81
B. Mendy,80,80,69,79
C. Kramer,80,71,72,81
S. Vrsaljko,77,74,70,79
T. Hazard,81,85,72,83
K. Bellarabi,78,87,58,83
S. Zaza,71,77,45,79
F. Ghoulam,79,79,74,80
B. Lecomte,17,11,21,23
J. Iličić,82,83,74,87
K. Volland,81,79,67,81
Paco Alcácer,76,78,51,81
Vitolo,79,84,80,83
G. Xhaka,85,70,85,80
D. Tadić,81,85,77,86
C. Aránguiz,84,75,83,82
S. Verdi,82,84,76,86
D. Lovren,69,63,66,67
G. Medel,79,63,78,71
X. Shaqiri,81,86,80,84
J. Corona,76,91,68,84
A. Areola,41,12,32,22
K. Vogt,79,67,83,71
Ander Herrera,83,77,79,82
E. Salvio,75,85,72,84
S. El Shaarawy,74,84,57,86
C. Smalling,63,59,63,58
Hulk,78,82,72,79
S. Kagawa,83,86,72,83
M. Lanzini,80,87,78,86
F. Smolov,77,77,62,78
L. Stindl,85,78,69,83
O. Toprak,75,63,70,71
D. Perotti,81,88,69,88
F. Muslera,44,25,47,23
B. Höwedes,72,59,64,65
S. Kjær,73,46,69,71
S. Bender,74,58,69,60
M. Valbuena,82,83,77,82
Pedro León,83,84,85,85
K. Boateng,82,79,78,84
L. Piszczek,76,72,69,76
A. Candreva,78,82,73,83
D. Wass,82,80,79,81
E. Lamela,83,86,73,84
D. Rose,76,80,66,77
C. Vela,81,83,66,83
Renato Augusto,81,82,81,81
A. Valencia,81,80,72,81
L. Fabiański,20,14,32,22
João Moutinho,83,79,81,82
Borja Valero,89,85,85,88
F. Quagliarella,76,76,73,81
B. Gomis,75,78,46,79
Manuel Fernandes,80,86,80,83
H. Herrera,78,76,75,78
Raffael,83,87,76,85
Nani,79,87,77,86
J. Milner,84,76,81,79
J. Mathieu,73,65,77,62
Joaquín,82,85,83,83
M. Gómez,76,76,58,77
K. Havertz,82,81,73,83
T. Ndombele,82,86,79,84
H. Aouar,84,84,78,82
Carlos Soler,84,79,79,82
Odriozola,77,69,70,77
M. Almirón,79,81,70,79
Welington Dano,78,77,71,78
Everton Andrão,78,75,75,77
Oyarzabal,80,84,73,85
F. Balbuena,71,47,56,56
M. Marega,68,62,52,65
B. Pavard,78,66,80,77
W. Ndidi,74,74,70,75
A. Onana,33,26,26,38
G. Lo Celso,81,81,80,82
M. Acuña,78,85,76,82
Rúben Neves,84,73,85,80
Mariano,69,75,51,72
Raúl,68,56,62,60
M. Caldara,63,62,58,63
M. Vecino,83,84,79,84
T. Bakayoko,78,76,75,77
M. Dahoud,83,85,78,83
Rafa,75,86,64,84
K. Baldé,76,83,64,85
G. Rulli,32,14,23,15
F. Armani,34,19,21,29
Rony Lopes,79,82,72,81
Santi Mina,69,81,65,80
K. Demirbay,82,82,80,84
Gayà,81,77,75,81
André Gomes,82,80,81,78
N. Tagliafico,75,74,67,74
M. Sanson,80,77,84,79
Pacheco,24,13,27,14
E. Can,81,76,80,81
H. Çalhanoğlu,83,85,80,86
M. Ginter,75,62,70,72
M. Keane,71,66,69,69
L. Paredes,84,78,82,82
T. Stepanenko,81,64,77,78
L. Shaw,78,82,68,80
Z. Feddal,76,56,68,67
S. Haller,70,72,35,79
Bernard,76,82,68,84
T. Inui,76,88,70,82
Portu,83,82,78,83
M. Batshuayi,64,78,36,80
E. Zahavi,78,81,69,83
T. Vaclík,17,14,38,20
N. Pope,32,15,35,24
Héctor Bellerín,76,75,59,78
P. Kadeřábek,77,76,69,77
J. Butland,40,21,30,36
J. Vestergaard,67,44,80,54
J. Tarkowski,73,66,72,70
Deulofeu,78,88,62,86
E. Dier,77,65,78,70
J. Murillo,68,58,62,64
M. Badelj,82,72,82,80
Ismaily,81,83,67,81
N. Schulz,78,79,70,78
L. Digne,81,76,69,82
M. Uth,72,78,68,78
Cristian Tello,77,82,70,81
D. Vida,66,53,60,66
L. Muriel,75,85,55,83
V. Aboubakar,75,81,68,80
A. Oxlade-Chamberlain,80,84,75,84
S. Aurier,78,76,72,79
J. Matip,77,65,74,69
Y. Rakitskyi,78,69,84,73
Sergi Enrich,79,76,61,80
A. Yarmolenko,78,86,74,83
Hugo Mallo,71,69,68,80
André Almeida,78,75,75,79
D. Didavi,80,81,75,83
R. Rodríguez,78,76,78,78
R. Pereyra,82,84,75,84
Mario Gaspar,77,73,69,76
Maicon,67,55,75,60
D. Blind,83,73,83,80
J. Zoet,37,15,38,34
A. Ljajić,78,87,71,86
Canales,84,81,70,80
Iago Falqué,82,84,74,85
L. de Jong,76,66,64,76
Guaita,39,16,33,24
Muniain,80,86,67,83
Susaeta,82,85,81,84
S. Rudy,82,78,81,82
K. Trapp,25,10,12,24
V. Wanyama,77,68,70,75
N. Nkoulou,75,68,72,74
R. Boudebouz,81,81,76,80
Camacho,80,64,74,75
S. Ulreich,41,13,38,22
M. Musacchio,69,65,67,67
C. Stuani,74,78,65,79
P. Gulácsi,29,19,25,25
Bruno,85,74,84,78
F. Delph,82,77,76,82
A. Lallana,84,84,76,85
Marcelo,70,51,72,65
S. Coleman,78,79,70,78
Alexandre Pato,75,81,53,80
Antunes,77,74,76,80
Nacho Monreal,77,73,61,77
Beñat,84,72,82,80
A. Fernández,81,78,80,81
K. Gameiro,79,75,72,79
I. Piatti,78,86,74,84
V. Birsa,82,84,76,86
S. Romero,39,12,48,40
D. Criscito,80,72,81,73
D. Valeri,79,78,76,82
D. Sturridge,72,79,62,80
Raúl García,79,78,80,85
S. Defour,81,78,78,80
M. Škrtel,68,46,67,57
S. Radu,71,66,67,69
G. Cahill,66,56,60,61
L. Diarra,79,73,75,80
L. Perrin,74,62,77,73
Dante,74,57,76,74
A. Granqvist,73,49,67,63
A. Gignac,70,73,68,73
M. Gómez,70,72,50,71
I. Akinfeev,23,15,22,22
I. Denisov,80,73,74,78
Juanfran,77,75,66,78
Diego López,28,11,23,23
Santi Cazorla,85,84,84,86
Jesús Navas,75,80,73,80
J. Mascherano,79,58,75,80
A. Mirante,35,24,35,25
D. Srna,85,72,87,83
B. Schweinsteiger,82,71,83,78
Moyá,31,13,35,24
W. Rooney,81,74,82,80
Fernando Torres,79,80,51,79
S. Sorrentino,36,14,34,20
V. Tsygankov,80,80,69,81
Rúben Dias,69,54,44,60
David Neres,78,87,52,84
Raphinha,73,81,62,80
A. Harit,78,86,75,84
Richarlison,75,84,59,79
L. Martínez,62,78,50,79
F. Kessié,79,78,75,79
Luimo Boas Santos,74,82,56,78
Gabri Prestão,11,18,12,20
Melvin Parrela,78,72,72,74
Antônio Chiamuloira,68,44,72,62
Maikel Catarino,73,78,75,77
A. Lunev,25,15,32,17
André Silva,69,77,58,79
C. Pulisic,77,87,56,82
M. Dmitrović,40,8,40,9
L. Tousart,76,69,73,73
Marcos Llorente,84,68,81,78
B. Verbič,75,81,69,80
S. Bergwijn,75,87,53,83
A. Diallo,76,73,78,76
A. Golovin,80,86,73,82
M. Campaña,31,18,25,29
C. Pavón,76,79,68,76
K. Toko-Ekambi,69,80,58,80
Granell,83,76,79,80
F. Cervi,73,85,67,84
J. Weigl,85,74,80,79
V. Lindelöf,79,66,73,75
A. Rebić,72,83,57,79
A. Sanabria,74,82,63,83
R. Battaglia,78,74,76,76
M. Philipp,78,85,62,82
A. Saint-Maximin,72,87,68,81
D. Zappacosta,74,76,68,74
L. Alario,69,75,48,79
D. Benedetto,67,71,65,74
I. Marcone,80,69,83,73
J. Gbamin,78,74,74,76
J. Lerma,78,69,74,77
Ricardo Horta,76,80,69,81
R. Zobnin,81,82,79,82
M. Meyer,85,84,75,82
Bruma,75,87,60,83
R. Centurión,68,86,66,80
Jonny,73,73,59,76
Otávio,77,84,74,83
J. Hofmann,79,80,71,79
N. Aké,77,67,73,73
J. Hector,78,74,74,77
S. Kolašinac,76,73,53,74
G. Pizarro,80,70,75,76
Roger,72,76,52,76
Sergio Rico,28,14,26,12
L. Milivojević,79,62,75,74
D. Baselli,82,80,78,83
K. Rekik,75,57,68,67
Denis Suárez,82,83,78,84
W. Orban,66,53,56,58
Mário Rui,76,79,72,76
Iñigo Martínez,71,53,81,68
K. Zouma,63,50,60,63
Roque Mesa,82,74,77,79
J. Brooks,73,65,72,64
L. Karius,38,16,41,23
Zé Luís,67,80,44,81
D. Klaassen,81,72,75,80
M. Elyounoussi,82,80,75,78
L. Bittencourt,79,84,72,80
Sergi Darder,84,76,81,81
J. Roussillon,74,77,69,77
D. Demme,82,73,79,77
J. Gouweleeuw,68,60,80,66
M. Rojo,72,64,73,67
J. Veretout,84,76,79,79
L. Kurzawa,80,76,72,80
G. Ramírez,81,80,77,81
David López,79,64,64,76
C. Tătăruşanu,37,16,37,19
A. Mandi,78,64,73,73
D. Sidibé,79,77,73,78
Y. Konoplyanka,77,82,74,81
S. Berghuis,76,82,76,82
H. Vanaken,84,77,80,83
Campaña,82,77,81,81
M. van Ginkel,83,75,79,80
Nolito,76,80,67,80
M. Gregoritsch,77,75,69,78
Ibai Gómez,77,82,78,81
Danilo,77,73,69,79
R. Barkley,82,85,78,84
M. Ryan,40,13,45,24
Sergio León,72,77,34,78
B. Stambouli,77,66,79,76
J. Guilavogui,78,67,75,73
Sérgio Oliveira,81,77,79,80
D. Caligiuri,78,81,70,80
C. Wilson,71,74,60,77
P. Jones,73,59,67,64
Borja García,82,80,80,81
Y. Belhanda,78,84,76,83
G. Pezzella,64,54,58,66
Jaume Costa,79,69,65,78
C. Tosun,72,75,60,78
Escudero,77,68,77,75
Kike García,70,75,49,80
Elkeson,75,76,66,77
Ricardo Goulart,81,78,74,81
J. Guðmundsson,78,81,75,79
N. Clyne,75,76,66,78
M. Hitz,29,13,25,17
De Marcos,75,75,69,78
B. Mee,63,63,61,65
Rafael,77,80,70,78
Iborra,83,70,81,81
J. Wilshere,84,81,80,82
B. Hübner,57,58,49,63
Souza,76,71,73,78
F. Coquelin,77,72,74,78
Alex Teixeira,80,80,70,81
A. Dzagoev,79,78,76,81
I. Smolnikov,79,72,75,72
Y. M'Vila,83,73,79,76
K. Asamoah,81,82,79,81
R. Zieler,25,12,22,22
D. Drinkwater,80,75,83,78
N. Kalinić,72,73,48,78
Mariano,76,75,75,82
S. Feghouli,74,85,67,82
Adrien Silva,81,78,80,80
Fernando,78,68,76,72
I. Traoré,76,85,74,80
G. Mercado,71,57,65,70
N. Petersen,65,64,49,70
O. Karnezis,22,15,36,23
M. Sakho,77,50,69,63
Sidnei,70,59,68,76
S. Jovetić,81,82,64,83
Eder,76,83,58,83
J. Hernández,65,73,56,77
Fabricio,44,25,40,35
Kiko Casilla,30,12,24,20
Ángel,73,80,49,81
M. Schneiderlin,78,68,75,80
M. Fellaini,81,67,66,82
P. Wernbloom,75,68,72,74
D. Ospina,36,12,32,32
S. Mignolet,37,14,34,26
A. Begović,26,16,32,24
N. Şahin,84,76,84,81
R. Bertrand,76,77,70,78
A. Masiello,66,54,68,62
T. Walcott,72,81,61,78
Charles,69,79,52,82
T. Heaton,32,17,37,28
H. Ben Arfa,78,88,74,80
D. Abraham,73,44,75,59
E. Lavezzi,80,82,65,83
S. Kalou,79,87,68,86
J. Farfán,77,78,73,79
R. Babel,71,82,66,79
A. Young,79,77,70,79
J. Hart,34,23,35,20
L. López,75,78,70,80
D. Baier,82,74,82,80
B. Yılmaz,66,69,60,69
R. Adler,39,13,36,20
S. Lichtsteiner,77,76,70,76
E. Adebayor,72,72,55,74
E. Belözoğlu,86,78,87,82
Loren,74,79,35,81
Éder Militão,67,68,58,70
F. Chiesa,75,83,60,80
M. Lazzari,78,79,74,79
A. Hakimi,77,78,68,78
S. Nakajima,75,83,68,78
L. Jović,72,76,54,77
S. Ascacíbar,80,64,71,65
A. Lafont,54,14,38,10
T. Alexander-Arnold,76,72,75,72
F. Krovinović,80,79,78,81
Sidney Pessinho,75,72,77,71
Everticinho,76,76,59,75
Claudio Coíntra,75,75,75,76
Ronaldo Esler,76,76,59,74
P. Lees-Melou,79,79,79,79
B. Chilwell,73,76,68,77
João Novais,78,78,76,77
D. Calabria,75,73,68,74
F. Mendy,76,81,75,78
L. Pellegrini,82,76,79,79
Soares,68,75,54,77
Daniel Podence,74,84,66,81
M. Díaz,24,13,21,16
G. Martínez,70,86,68,81
M. Eggestein,79,77,77,79
Trezeguet,76,83,72,78
N. Amiri,79,85,73,81
Vallejo,76,56,75,67
J. Gomez,72,67,57,68
Diogo Jota,72,81,65,83
Joan Jordán,79,78,78,79
Dyego Sousa,64,74,45,76
A. Marušić,75,78,68,77
David Soria,24,16,33,19
V. Rongier,81,78,79,80
W. Weghorst,70,64,48,76
O. Al Soma,69,71,64,76
M. Nakamba,73,71,73,73
Petros,80,76,78,79
Pablo Maffeo,78,80,63,81
Y. Mina,73,60,52,53
M. Dúbravka,48,19,45,33
Diego Carlos,71,64,59,69
D. Djené,72,44,54,68
G. Simeone,68,76,55,76
M. Meza,76,86,68,79
Bastos,70,55,65,62
S. Lobotka,84,77,76,82
Y. Tielemans,78,76,78,81
Marcelo Goiano,75,77,61,76
K. Tete,73,68,63,70
Capa,71,74,56,76
M. Sportiello,32,19,19,22
Jemerson,68,54,60,63
N. Maksimović,59,49,59,61
D. Zapata,64,72,38,76
J. Correa,78,85,69,83
E. Rigoni,73,82,71,77
C. Izquierdoz,66,36,57,62
W. Barrios,78,66,65,69
J. Mojica,78,78,70,79
A. Selikhov,33,19,35,25
A. Iwobi,81,84,63,84
D. Laxalt,78,77,74,78
N. Bentaleb,80,82,76,81
N. Stark,76,65,67,70
M. Lemina,82,81,77,82
L. Dendoncker,78,68,78,73
Ricardo Esgaio,78,79,67,80
P. Sisto,70,86,65,80
P. Max,77,73,72,78
R. Gagliardini,78,75,75,77
Pere Pons,82,75,80,79
D. Berardi,75,80,75,85
M. Halstenberg,76,69,62,74
J. Quintero,78,83,77,83
Tiago Volpi,31,16,26,24
Óliver Torres,81,83,78,82
Omar Mascarell,82,75,83,80
H. Sakai,71,64,64,69
Andreas Pereira,80,81,77,81
A. Januzaj,79,81,74,80
B. Cristante,83,78,78,81
Matheus,27,12,36,22
B. Traoré,77,85,69,87
Y. Poulsen,74,75,48,71
L. Trossard,76,83,68,78
M. Arnold,79,78,78,79
M. De Sciglio,74,74,68,75
Leo Baptistao,77,80,63,80
V. Chiricheş,68,59,70,66
L. Pavoletti,64,66,36,74
A. Cragno,26,13,25,21
L. Castro,80,80,76,82
N. Füllkrug,67,70,48,74
F. Fajr,80,76,81,79
R. Jiménez,71,74,67,74
E. Sala,71,75,63,75
S. García,61,71,54,76
S. Arias,74,74,73,76
B. Reynet,33,11,32,21
Pozuelo,82,81,73,83
A. Trebel,77,77,79,77
J. Lascelles,65,50,57,65
T. Kongolo,72,67,65,72
A. Carrillo,73,85,60,82
Álvaro,69,48,57,67
G. Defrel,67,83,60,82
Fernando,81,70,82,76
V. Darida,81,78,75,81
R. Saponara,80,83,74,85
Pedro Mendes,66,62,64,63
C. Schindler,68,42,64,68
N. Chadli,77,82,68,80
Arbilla,77,63,65,76
L. Dunk,71,60,74,68
P. Hernández,79,80,78,79
J. Guidetti,75,76,53,77
Sergi Gómez,80,56,77,75
Oriol Romeu,80,59,71,72
Lucas Pérez,75,79,70,80
B. Natcho,80,73,81,81
Cláudio Ramos,25,16,23,20
F. Lejeune,75,62,70,73
G. Krychowiak,79,65,80,77
N. Lodeiro,79,78,76,81
O. Özyakup,83,78,78,80
C. Tévez,78,79,65,77
K. Papadopoulos,54,40,50,52
M. Gradel,74,82,66,81
M. Debuchy,75,74,73,75
V. Moses,76,82,70,81
Z. Junuzović,77,80,78,80
Granero,81,77,80,80
J. Baumgartlinger,81,65,71,74
Fábio Coentrão,78,81,75,79
B. Costil,35,13,33,12
Hilton,73,63,72,73
N. Gudelj,78,64,76,75
L. Pratto,72,72,70,76
E. Hernández,79,80,75,83
Jurado,80,80,78,79
R. Cabella,79,82,74,80
Rafael Tolói,66,58,68,66
C. Bravo,56,22,54,41
Hernanes,82,74,78,79
K. Honda,80,82,80,84
A. Dzyuba,71,71,55,77
J. Holebas,76,73,69,77
Javi García,82,66,77,77
Sergio,37,13,39,21
M. Cáceres,67,60,65,66
Daniel Carriço,74,58,75,64
J. Cork,80,75,79,79
J. Tomkins,70,50,60,59
Guilherme,39,16,33,21
Gervinho,73,80,67,78
J. Shelvey,84,74,85,76
R. Eremenko,83,78,78,80
R. Vormer,81,67,77,72
J. Lens,74,80,63,78
Adriano,79,81,77,82
S. Cook,70,54,61,67
L. Podolski,76,78,67,78
C. Ansaldi,77,80,76,79
Manu García,77,62,74,75
R. Alessandrini,72,79,68,79
J. Ward-Prowse,84,73,82,82
M. Harnik,72,74,69,71
B. Moukandjo,69,77,60,75
G. Pereiro,72,79,62,83
G. Castro,80,77,77,78
Aarón Martín,76,71,61,75
F. Johnson,76,79,69,76
L. López,66,61,58,62
M. Dossevi,78,78,70,77
Caiuby,73,74,64,74
Gabriel,76,81,73,82
Iván Ramis,71,51,72,70
M. Suchý,72,60,70,65
T. Vilhena,77,77,76,80
E. Çolak,78,77,77,80
V. Germain,73,73,64,75
